timestamp,datetime,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle
0.10014820098876953,2025-07-25 16:58:21.601,-16.962890625,-98.0859375,100.546875,108.017578125,13.18359375,-85.341796875
0.3032224178314209,2025-07-25 16:58:21.804,-16.962890625,-98.0859375,100.546875,108.017578125,13.18359375,-85.25390625
0.5085115432739258,2025-07-25 16:58:22.009,-16.962890625,-97.998046875,100.546875,108.017578125,13.18359375,-85.25390625
0.7113642692565918,2025-07-25 16:58:22.212,-17.2265625,-97.998046875,100.37109375,108.017578125,13.18359375,-85.25390625
0.9116308689117432,2025-07-25 16:58:22.412,-17.75390625,-98.0859375,100.72265625,108.017578125,13.095703125,-85.341796875
1.1154072284698486,2025-07-25 16:58:22.616,-21.533203125,-94.04296875,97.55859375,102.744140625,13.095703125,-85.25390625
1.3178412914276123,2025-07-25 16:58:22.818,-21.97265625,-69.08203125,78.046875,83.49609375,13.18359375,-85.25390625
1.5235888957977295,2025-07-25 16:58:23.024,-25.3125,-47.8125,68.466796875,79.365234375,13.18359375,-85.25390625
1.7269666194915771,2025-07-25 16:58:23.227,-26.71875,-18.193359375,47.63671875,76.025390625,13.18359375,-85.25390625
1.9281182289123535,2025-07-25 16:58:23.429,-34.1015625,-5.537109375,39.375,70.576171875,13.095703125,-85.341796875
2.1309969425201416,2025-07-25 16:58:23.631,-50.09765625,-3.779296875,38.935546875,70.048828125,13.18359375,-85.25390625
2.3335037231445312,2025-07-25 16:58:23.834,-69.873046875,-5.09765625,38.84765625,72.861328125,13.18359375,-85.25390625
2.532323122024536,2025-07-25 16:58:24.033,-70.927734375,-20.21484375,47.021484375,82.6171875,13.18359375,-85.25390625
2.735403537750244,2025-07-25 16:58:24.236,-67.763671875,-37.353515625,63.984375,83.14453125,13.18359375,-85.25390625
2.938680410385132,2025-07-25 16:58:24.439,-64.16015625,-59.4140625,90.87890625,76.11328125,13.18359375,-85.25390625
3.138850688934326,2025-07-25 16:58:24.639,-62.9296875,-65.91796875,97.294921875,67.939453125,13.095703125,-85.25390625
3.3421566486358643,2025-07-25 16:58:24.843,-62.75390625,-43.681640625,75.146484375,61.171875,13.18359375,-85.25390625
3.5469696521759033,2025-07-25 16:58:25.047,-63.45703125,-23.994140625,61.259765625,54.755859375,13.18359375,-85.25390625
3.747986078262329,2025-07-25 16:58:25.248,-62.666015625,-10.634765625,46.845703125,52.470703125,13.0078125,-85.25390625
3.950784206390381,2025-07-25 16:58:25.451,-62.578125,-12.392578125,45.263671875,62.75390625,12.041015625,-85.25390625
4.151855945587158,2025-07-25 16:58:25.652,-63.017578125,-23.994140625,60.1171875,73.740234375,12.12890625,-85.25390625
4.35579514503479,2025-07-25 16:58:25.856,-62.490234375,-13.18359375,42.5390625,53.876953125,12.392578125,-85.341796875
4.560095548629761,2025-07-25 16:58:26.061,-62.578125,-21.09375,48.8671875,65.56640625,12.3046875,-85.25390625
4.761056661605835,2025-07-25 16:58:26.262,-63.369140625,-27.685546875,64.599609375,69.43359375,12.3046875,-85.25390625
4.963546991348267,2025-07-25 16:58:26.464,-62.490234375,-17.2265625,47.63671875,55.107421875,12.3046875,-85.25390625
5.166104316711426,2025-07-25 16:58:26.667,-62.2265625,-22.587890625,52.294921875,61.259765625,12.3046875,-85.25390625
5.367739677429199,2025-07-25 16:58:26.868,-62.05078125,-29.619140625,67.5,68.203125,12.65625,-85.25390625
5.569962024688721,2025-07-25 16:58:27.070,-60.99609375,-26.71875,54.84375,62.490234375,12.83203125,-85.341796875
5.770817041397095,2025-07-25 16:58:27.271,-60.8203125,-25.576171875,53.96484375,63.80859375,12.65625,-85.166015625
5.973334550857544,2025-07-25 16:58:27.474,-58.271484375,-29.1796875,66.4453125,55.8984375,15.64453125,-85.4296875
6.178179025650024,2025-07-25 16:58:27.679,-56.865234375,-30.498046875,62.40234375,55.37109375,18.896484375,-84.814453125
6.380724906921387,2025-07-25 16:58:27.881,-56.77734375,-30.05859375,64.951171875,57.216796875,12.744140625,-80.419921875
6.583188056945801,2025-07-25 16:58:28.084,-56.953125,-28.65234375,64.599609375,56.953125,11.07421875,-63.80859375
6.785666465759277,2025-07-25 16:58:28.286,-56.865234375,-28.65234375,65.830078125,56.07421875,14.765625,-52.294921875
6.988954305648804,2025-07-25 16:58:28.489,-56.953125,-29.8828125,64.599609375,54.052734375,15.908203125,-50.009765625
7.193034648895264,2025-07-25 16:58:28.693,-57.3046875,-29.619140625,67.236328125,52.998046875,11.6015625,-49.921875
7.396776914596558,2025-07-25 16:58:28.897,-56.865234375,-31.201171875,69.609375,52.294921875,12.392578125,-49.921875
7.599581480026245,2025-07-25 16:58:29.100,-56.77734375,-31.552734375,69.609375,51.943359375,13.18359375,-49.833984375
7.798523902893066,2025-07-25 16:58:29.299,-56.865234375,-34.013671875,72.421875,51.85546875,11.42578125,-49.833984375
7.999387502670288,2025-07-25 16:58:29.500,-56.513671875,-37.265625,75.849609375,52.03125,13.974609375,-51.416015625
8.200015783309937,2025-07-25 16:58:29.700,-56.6015625,-40.078125,78.486328125,54.755859375,15.205078125,-84.7265625
8.401628971099854,2025-07-25 16:58:29.902,-56.6015625,-39.7265625,80.33203125,50.2734375,17.666015625,-85.4296875
8.604037046432495,2025-07-25 16:58:30.104,-56.337890625,-38.935546875,83.14453125,49.130859375,18.80859375,-85.341796875
8.804401159286499,2025-07-25 16:58:30.305,-56.337890625,-38.84765625,82.44140625,56.77734375,12.744140625,-85.25390625
9.020198583602905,2025-07-25 16:58:30.521,-51.85546875,-39.19921875,74.091796875,59.326171875,12.83203125,-85.25390625
9.223289728164673,2025-07-25 16:58:30.724,-37.353515625,-45.263671875,73.740234375,61.259765625,12.83203125,-85.25390625
9.425012588500977,2025-07-25 16:58:30.925,-12.83203125,-54.66796875,79.541015625,62.05078125,12.744140625,-85.25390625
9.627235889434814,2025-07-25 16:58:31.128,-3.076171875,-68.73046875,96.064453125,67.060546875,12.83203125,-85.25390625
9.828889608383179,2025-07-25 16:58:31.329,-7.03125,-83.49609375,102.041015625,82.08984375,12.83203125,-85.25390625
10.028768062591553,2025-07-25 16:58:31.529,-7.470703125,-92.724609375,102.041015625,98.26171875,12.83203125,-85.25390625
10.229920864105225,2025-07-25 16:58:31.730,-8.173828125,-97.20703125,101.6015625,107.9296875,12.744140625,-85.25390625
10.431774854660034,2025-07-25 16:58:31.932,-8.173828125,-97.470703125,100.458984375,107.841796875,12.744140625,-85.25390625
10.633876323699951,2025-07-25 16:58:32.134,-8.173828125,-97.55859375,100.546875,107.841796875,12.744140625,-85.25390625
10.836978673934937,2025-07-25 16:58:32.337,-8.173828125,-97.646484375,100.546875,107.841796875,12.744140625,-85.25390625
11.03953742980957,2025-07-25 16:58:32.540,-8.173828125,-97.646484375,100.546875,107.841796875,12.744140625,-85.25390625
11.2422513961792,2025-07-25 16:58:32.743,-8.173828125,-97.734375,100.546875,107.841796875,12.744140625,-85.25390625
11.443746089935303,2025-07-25 16:58:32.944,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
11.64640498161316,2025-07-25 16:58:33.147,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
11.84766936302185,2025-07-25 16:58:33.348,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.049219369888306,2025-07-25 16:58:33.550,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.252986669540405,2025-07-25 16:58:33.753,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
12.452505111694336,2025-07-25 16:58:33.953,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.652919054031372,2025-07-25 16:58:34.153,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
12.855148792266846,2025-07-25 16:58:34.356,-8.173828125,-97.734375,100.458984375,107.841796875,12.744140625,-85.25390625
13.057433128356934,2025-07-25 16:58:34.558,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
13.25767183303833,2025-07-25 16:58:34.758,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
13.461830854415894,2025-07-25 16:58:34.962,-8.0859375,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
13.663969039916992,2025-07-25 16:58:35.164,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
13.86556363105774,2025-07-25 16:58:35.366,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
14.065489768981934,2025-07-25 16:58:35.566,-8.0859375,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
14.2682945728302,2025-07-25 16:58:35.769,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
14.468956708908081,2025-07-25 16:58:35.969,-8.173828125,-97.822265625,100.37109375,107.9296875,12.744140625,-85.25390625
14.670510292053223,2025-07-25 16:58:36.171,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
14.873951435089111,2025-07-25 16:58:36.374,-8.173828125,-97.822265625,100.458984375,107.841796875,12.744140625,-85.25390625
15.078139543533325,2025-07-25 16:58:36.579,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.279300689697266,2025-07-25 16:58:36.780,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.482461214065552,2025-07-25 16:58:36.983,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.684850454330444,2025-07-25 16:58:37.185,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
15.887787103652954,2025-07-25 16:58:37.388,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.088814735412598,2025-07-25 16:58:37.589,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.290566205978394,2025-07-25 16:58:37.791,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.490818977355957,2025-07-25 16:58:37.991,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.689411401748657,2025-07-25 16:58:38.190,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
16.89089608192444,2025-07-25 16:58:38.391,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
17.09196710586548,2025-07-25 16:58:38.592,-8.173828125,-97.822265625,100.37109375,107.841796875,12.744140625,-85.25390625
